X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
L13039_s_at,8.278419945,8.23988656,8.376186973,8.29067848825051,8.65998458,11.5657891701672,8.762395574,11.1515812990673,11.6337247394578,10.8986957827961,11.1867837710691,9.072366582,9.979977292,9.73622129474251,11.6959354940073,10.51734235,9.86132348,8.500034644,10.9177837086471,8.654149039
L13619_g_at,9.153373471,10.41798818,8.563403166,7.57927898942989,8.353934846,11.5357151729621,9.963054194,11.5601703568787,7.81331122228647,7.56796612117614,7.80306471273679,7.488361546,8.162506107,7.57748364210816,7.50358578981593,7.526715418,7.46790098,9.315197709,7.58982942385969,7.507852417
L13635_s_at,7.615526964,10.65926166,8.815887279,7.57187569203692,9.259212067,7.63583205302148,9.995902841,7.58927027511288,7.5794876569918,7.54307219706923,7.57386881003998,7.449636285,7.77996923,7.53251362123652,7.53474499736695,7.877323051,7.530064899,10.02182157,8.92355572636115,10.1151819
L16764_s_at,8.901229304,9.090106034,8.367611931,8.27448713555219,8.428374596,NA,11.80521571,NA,12.1884278373947,10.0230201732052,10.869960279926,8.485623268,10.9619669,NA,8.83533422076823,8.391773262,8.662529934,8.693153526,8.14647265191676,8.353574744
L19998_g_at,8.674828919,7.812015857,8.635487359,8.12138699513317,7.967739454,9.95562014859479,7.753567649,7.70174722233595,9.65735714116857,9.24368919917291,9.88636253401997,7.892919719,7.96574936,8.31510982157467,8.84943295649399,8.687052783,8.07907154,8.650989799,11.1370935648231,9.00821196
L24776_at,8.720531411,8.974228267,8.246939346,9.93987835134544,8.547869838,9.12750427140865,7.661978601,9.65284612430878,10.2505101942541,10.2205468341498,10.3320054259581,8.204595832,7.821030592,8.36733375046362,8.53828668002857,7.961899446,7.977293582,8.358764795,8.32315615087491,8.093669329
L25785_at,8.567452201,11.93204253,10.72749013,7.52552626279972,10.79053321,11.5844479750202,11.11781087,10.849662691233,8.53676034223943,8.43629838616108,9.45755308425884,8.858473281,10.1007197,8.80325249255505,8.76651966335643,10.67839041,8.420943605,10.90332205,7.43077093763759,10.0149098
L26268_at,7.920230887,9.426957409,8.966336907,7.84423701788782,8.276854324,10.7294942662946,9.675681817,10.4124149687057,8.09314477618769,8.34579731326283,8.87325131998788,8.053795796,8.392693984,8.16384934052066,9.0095720712866,8.803777274,8.34400207,8.230506957,7.59534562944965,8.366991688
L26268_g_at,7.985441062,9.185927406,8.542321121,7.88501153062441,7.94606149,9.64330698023142,8.998647899,9.80639492072947,7.8353261352299,7.78083273195017,7.8553268453141,7.748294415,7.984972252,7.83882712047173,8.22832899791008,7.831245731,7.879764097,7.919964007,7.53600579158852,7.890307757
L27843_s_at,7.785872618,10.71688551,9.90290384,7.57484005385175,9.204967268,11.348006454925,10.42128588,11.3618878815023,7.61761067564682,7.58595214956053,7.58422802692526,7.611048462,8.810407616,7.58876955040693,7.57208143524755,7.821042793,7.551628188,8.819189213,7.59036882934787,8.422733041
L33869_at,8.388102224,8.06243165,8.045595708,8.78520234980955,7.884452722,9.15294342282956,7.989311984,9.63672085305634,9.86837184286584,9.50402865190884,9.27188941800563,8.168716886,8.423815877,8.64747385183221,8.72464706328697,8.18468352,8.65279548,8.051584448,8.92293614064386,8.112548347
M11794cds#2_f_at,9.580942204,11.51408177,10.33010999,10.1262275497092,10.86451992,NA,12.69015697,NA,NA,12.1874758940717,NA,9.869041868,11.9025871,12.463751426408,11.7354143532985,11.9281786,10.21733424,10.13305543,11.1588176610619,10.74808108
M11942_s_at,7.595018112,11.98194293,10.4466084,7.31173935868651,11.15737983,11.8578003688441,10.92157107,11.8507339808343,7.7883101452529,8.79479128764009,7.71654894331615,9.507487063,9.872171672,9.92936358489578,10.3636200509707,11.38463551,9.427558946,10.7731624,8.64245157234321,10.15891386
M12672_at,7.700899463,8.54102524,8.93527146,7.68170474481623,8.679289122,10.7086143140839,8.699722301,7.63020828879155,7.68894981742714,7.67110863179621,7.85085886100698,9.16729953,8.685704023,8.67225844225556,9.60942901397757,8.318341199,8.755523988,8.24297357,8.25178753941994,9.866086371
M14656_at,8.041928547,7.624519692,7.584445649,8.59807286444993,7.530500242,11.4230590591118,8.047767195,11.602802102884,11.5779352297638,10.5081834108869,11.666998927881,9.456447435,11.07050521,11.1656082173998,NA,11.70160127,11.8376388,7.703023647,9.06817240414771,8.107708221
